group,session,metric,mean,std,min,max,n
control,1,density,1.0,0.0,1.0,1.0,20
control,1,path_length,1.849428,0.009945,1.830473,1.86542,20
control,1,global_efficiency,0.540723,0.002913,0.536072,0.546307,20
control,1,clustering_coef,0.501002,0.003149,0.49538,0.507835,20
control,1,transitivity,0.501002,0.003149,0.49538,0.507835,20
control,1,modularity,0.0,0.0,0.0,0.0,20
control,1,n_communities,1.0,0.0,1.0,1.0,20
control,1,participation_coef_mean,0.0,0.0,0.0,0.0,20
control,1,local_efficiency_mean,0.501714,0.003116,0.496031,0.508487,20
control,1,betweenness_mean,114.989024,6.631911,106.463415,129.439024,20
control,1,small_worldness,0.270911,0.003067,0.265874,0.277433,20
control,2,density,1.0,0.0,1.0,1.0,20
control,2,path_length,1.849428,0.009945,1.830473,1.86542,20
control,2,global_efficiency,0.540723,0.002913,0.536072,0.546307,20
control,2,clustering_coef,0.501002,0.003149,0.49538,0.507835,20
control,2,transitivity,0.501002,0.003149,0.49538,0.507835,20
control,2,modularity,0.0,0.0,0.0,0.0,20
control,2,n_communities,1.0,0.0,1.0,1.0,20
control,2,participation_coef_mean,0.0,0.0,0.0,0.0,20
control,2,local_efficiency_mean,0.501714,0.003116,0.496031,0.508487,20
control,2,betweenness_mean,114.989024,6.631911,106.463415,129.439024,20
control,2,small_worldness,0.270911,0.003067,0.265874,0.277433,20
control,3,density,1.0,0.0,1.0,1.0,20
control,3,path_length,1.84832,0.013372,1.828788,1.879086,20
control,3,global_efficiency,0.541059,0.003898,0.532174,0.54681,20
control,3,clustering_coef,0.500764,0.004786,0.489366,0.508567,20
control,3,transitivity,0.500764,0.004786,0.489366,0.508567,20
control,3,modularity,0.0,0.0,0.0,0.0,20
control,3,n_communities,1.0,0.0,1.0,1.0,20
control,3,participation_coef_mean,0.0,0.0,0.0,0.0,20
control,3,local_efficiency_mean,0.501516,0.00478,0.490113,0.509297,20
control,3,betweenness_mean,116.710976,7.546918,104.878049,128.731707,20
control,3,small_worldness,0.270958,0.004353,0.261138,0.27809,20
intervention_alone_long,1,density,1.0,0.0,1.0,1.0,20
intervention_alone_long,1,path_length,1.841742,0.014418,1.805948,1.872057,20
intervention_alone_long,1,global_efficiency,0.542996,0.004259,0.534172,0.553726,20
intervention_alone_long,1,clustering_coef,0.50686,0.004785,0.498566,0.520581,20
intervention_alone_long,1,transitivity,0.50686,0.004785,0.498566,0.520581,20
intervention_alone_long,1,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_long,1,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_long,1,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_long,1,local_efficiency_mean,0.507367,0.004785,0.499027,0.521076,20
intervention_alone_long,1,betweenness_mean,102.565854,5.432701,92.682927,116.146341,20
intervention_alone_long,1,small_worldness,0.27524,0.00466,0.26632,0.288259,20
intervention_alone_long,2,density,1.0,0.0,1.0,1.0,20
intervention_alone_long,2,path_length,1.841742,0.014418,1.805948,1.872057,20
intervention_alone_long,2,global_efficiency,0.542996,0.004259,0.534172,0.553726,20
intervention_alone_long,2,clustering_coef,0.50686,0.004785,0.498566,0.520581,20
intervention_alone_long,2,transitivity,0.50686,0.004785,0.498566,0.520581,20
intervention_alone_long,2,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_long,2,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_long,2,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_long,2,local_efficiency_mean,0.507367,0.004785,0.499027,0.521076,20
intervention_alone_long,2,betweenness_mean,102.565854,5.432701,92.682927,116.146341,20
intervention_alone_long,2,small_worldness,0.27524,0.00466,0.26632,0.288259,20
intervention_alone_long,3,density,1.0,0.0,1.0,1.0,20
intervention_alone_long,3,path_length,1.829294,0.020213,1.795486,1.863019,20
intervention_alone_long,3,global_efficiency,0.546723,0.006061,0.536763,0.556952,20
intervention_alone_long,3,clustering_coef,0.51888,0.006314,0.506759,0.528657,20
intervention_alone_long,3,transitivity,0.51888,0.006314,0.506759,0.528657,20
intervention_alone_long,3,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_long,3,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_long,3,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_long,3,local_efficiency_mean,0.519101,0.0063,0.507092,0.528962,20
intervention_alone_long,3,betweenness_mean,85.064634,4.863304,76.731707,94.04878,20
intervention_alone_long,3,small_worldness,0.283717,0.006469,0.273436,0.294286,20
intervention_alone_short,1,density,1.0,0.0,1.0,1.0,20
intervention_alone_short,1,path_length,1.846657,0.014013,1.82327,1.877263,20
intervention_alone_short,1,global_efficiency,0.541549,0.004098,0.532691,0.548465,20
intervention_alone_short,1,clustering_coef,0.504435,0.004686,0.496225,0.513459,20
intervention_alone_short,1,transitivity,0.504435,0.004686,0.496225,0.513459,20
intervention_alone_short,1,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_short,1,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_short,1,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_short,1,local_efficiency_mean,0.504992,0.004645,0.496701,0.513926,20
intervention_alone_short,1,betweenness_mean,106.44878,7.309459,92.219512,120.170732,20
intervention_alone_short,1,small_worldness,0.273192,0.00446,0.264427,0.281614,20
intervention_alone_short,2,density,1.0,0.0,1.0,1.0,20
intervention_alone_short,2,path_length,1.846657,0.014013,1.82327,1.877263,20
intervention_alone_short,2,global_efficiency,0.541549,0.004098,0.532691,0.548465,20
intervention_alone_short,2,clustering_coef,0.504435,0.004686,0.496225,0.513459,20
intervention_alone_short,2,transitivity,0.504435,0.004686,0.496225,0.513459,20
intervention_alone_short,2,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_short,2,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_short,2,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_short,2,local_efficiency_mean,0.504992,0.004645,0.496701,0.513926,20
intervention_alone_short,2,betweenness_mean,106.44878,7.309459,92.219512,120.170732,20
intervention_alone_short,2,small_worldness,0.273192,0.00446,0.264427,0.281614,20
intervention_alone_short,3,density,1.0,0.0,1.0,1.0,20
intervention_alone_short,3,path_length,1.837601,0.015358,1.808716,1.865625,20
intervention_alone_short,3,global_efficiency,0.544224,0.004551,0.536013,0.552878,20
intervention_alone_short,3,clustering_coef,0.513661,0.004218,0.505788,0.521571,20
intervention_alone_short,3,transitivity,0.513661,0.004218,0.505788,0.521571,20
intervention_alone_short,3,modularity,0.0,0.0,0.0,0.0,20
intervention_alone_short,3,n_communities,1.0,0.0,1.0,1.0,20
intervention_alone_short,3,participation_coef_mean,0.0,0.0,0.0,0.0,20
intervention_alone_short,3,local_efficiency_mean,0.513979,0.004249,0.50603,0.521973,20
intervention_alone_short,3,betweenness_mean,92.204878,4.988897,83.073171,101.097561,20
intervention_alone_short,3,small_worldness,0.279562,0.004445,0.271109,0.287112,20
intervention_group_long,1,density,1.0,0.0,1.0,1.0,20
intervention_group_long,1,path_length,1.841498,0.016177,1.802758,1.878271,20
intervention_group_long,1,global_efficiency,0.543076,0.004776,0.532404,0.554706,20
intervention_group_long,1,clustering_coef,0.508514,0.004857,0.499092,0.52038,20
intervention_group_long,1,transitivity,0.508514,0.004857,0.499092,0.52038,20
intervention_group_long,1,modularity,0.0,0.0,0.0,0.0,20
intervention_group_long,1,n_communities,1.0,0.0,1.0,1.0,20
intervention_group_long,1,participation_coef_mean,0.0,0.0,0.0,0.0,20
